@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
89,'2024/12/09 03:08:15:107',1,-16097,-2190,12641,-1056,-32766,-4506,?,?,?
90,'2024/12/09 03:08:15:127',1,-7868,-3646,17639,4142,-32766,-557,?,?,?
91,'2024/12/09 03:08:15:144',1,-7868,-3646,17639,4142,-32766,-557,?,?,?
92,'2024/12/09 03:08:15:163',1,-7868,-3646,17639,4142,-32766,-557,?,?,?
93,'2024/12/09 03:08:15:181',1,-6566,-2419,11455,9367,-32766,2452,?,?,?
94,'2024/12/09 03:08:15:202',1,-6566,-2419,11455,9367,-32766,2452,?,?,?
95,'2024/12/09 03:08:15:221',1,7651,-239,10479,2413,-32766,9125,?,?,?
96,'2024/12/09 03:08:15:237',1,7651,-239,10479,2413,-32766,9125,?,?,?
97,'2024/12/09 03:08:15:257',1,7651,-239,10479,2413,-32766,9125,?,?,?
98,'2024/12/09 03:08:15:276',1,12927,-1086,8471,7642,-32766,5879,?,?,?
99,'2024/12/09 03:08:15:294',1,12927,-1086,8471,7642,-32766,5879,?,?,?
100,'2024/12/09 03:08:15:313',1,12927,-1086,8471,7642,-32766,5879,?,?,?
101,'2024/12/09 03:08:15:332',1,19821,-393,6235,8977,-19247,898,?,?,?
102,'2024/12/09 03:08:15:350',1,19821,-393,6235,8977,-19247,898,?,?,?
103,'2024/12/09 03:08:15:367',1,19821,-393,6235,8977,-19247,898,?,?,?
104,'2024/12/09 03:08:15:385',1,15893,103,290,5151,-19915,302,?,?,?
105,'2024/12/09 03:08:15:404',1,15893,103,290,5151,-19915,302,?,?,?
106,'2024/12/09 03:08:15:424',1,15893,103,290,5151,-19915,302,?,?,?
107,'2024/12/09 03:08:15:443',1,17413,408,750,1746,-12495,1881,?,?,?
108,'2024/12/09 03:08:15:463',1,17413,408,750,1746,-12495,1881,?,?,?
109,'2024/12/09 03:08:15:481',1,17413,408,750,1746,-12495,1881,?,?,?
110,'2024/12/09 03:08:15:500',1,15754,558,-1681,399,-11590,3536,?,?,?
111,'2024/12/09 03:08:15:519',1,15754,558,-1681,399,-11590,3536,?,?,?
112,'2024/12/09 03:08:15:539',1,15754,558,-1681,399,-11590,3536,?,?,?
113,'2024/12/09 03:08:15:557',1,16622,135,-1418,-144,-7465,4099,?,?,?
114,'2024/12/09 03:08:15:575',1,16622,135,-1418,-144,-7465,4099,?,?,?
115,'2024/12/09 03:08:15:596',1,16622,135,-1418,-144,-7465,4099,?,?,?
116,'2024/12/09 03:08:15:613',1,17684,-1059,-4102,-1429,-3048,2868,?,?,?
117,'2024/12/09 03:08:15:629',1,17684,-1059,-4102,-1429,-3048,2868,?,?,?
118,'2024/12/09 03:08:15:649',1,17684,-1059,-4102,-1429,-3048,2868,?,?,?
119,'2024/12/09 03:08:15:665',1,16314,-1222,-3162,-686,-558,1288,?,?,?
120,'2024/12/09 03:08:15:686',1,16314,-1222,-3162,-686,-558,1288,?,?,?
121,'2024/12/09 03:08:15:704',1,16314,-1222,-3162,-686,-558,1288,?,?,?
122,'2024/12/09 03:08:15:723',1,16476,-1733,-3116,-2361,802,1662,?,?,?
123,'2024/12/09 03:08:15:742',1,16476,-1733,-3116,-2361,802,1662,?,?,?
124,'2024/12/09 03:08:15:761',1,16476,-1733,-3116,-2361,802,1662,?,?,?
125,'2024/12/09 03:08:15:777',1,15955,-1719,-2632,-1683,1543,1017,?,?,?
126,'2024/12/09 03:08:15:794',1,15955,-1719,-2632,-1683,1543,1017,?,?,?
127,'2024/12/09 03:08:15:811',1,15955,-1719,-2632,-1683,1543,1017,?,?,?
128,'2024/12/09 03:08:15:831',1,16558,-2153,-2457,-2348,1767,722,?,?,?
129,'2024/12/09 03:08:15:850',1,16558,-2153,-2457,-2348,1767,722,?,?,?
130,'2024/12/09 03:08:15:871',1,15788,-2114,-2592,-2571,3,381,?,?,?
131,'2024/12/09 03:08:15:891',1,15788,-2114,-2592,-2571,3,381,?,?,?
132,'2024/12/09 03:08:15:910',1,15788,-2114,-2592,-2571,3,381,?,?,?
133,'2024/12/09 03:08:15:929',1,16267,-2293,-2316,-1218,1200,-80,?,?,?
134,'2024/12/09 03:08:15:948',1,16267,-2293,-2316,-1218,1200,-80,?,?,?
135,'2024/12/09 03:08:15:965',1,16267,-2293,-2316,-1218,1200,-80,?,?,?
136,'2024/12/09 03:08:15:982',1,15787,-2257,-2846,-1714,-600,154,?,?,?
137,'2024/12/09 03:08:15:998',1,15787,-2257,-2846,-1714,-600,154,?,?,?
138,'2024/12/09 03:08:16:016',1,15787,-2257,-2846,-1714,-600,154,?,?,?
139,'2024/12/09 03:08:16:034',1,16012,-2200,-3139,-1127,-79,-118,?,?,?
140,'2024/12/09 03:08:16:054',1,16012,-2200,-3139,-1127,-79,-118,?,?,?
141,'2024/12/09 03:08:16:073',1,16012,-2200,-3139,-1127,-79,-118,?,?,?
142,'2024/12/09 03:08:16:092',1,15876,-2091,-3665,-1626,549,-102,?,?,?
143,'2024/12/09 03:08:16:110',1,15876,-2091,-3665,-1626,549,-102,?,?,?
